order_item_id,order_id,product_id,quantity,unit_price,discount_amount,total_line_amount,created_at,updated_at
23,7,101,5,107.79,6.85,532.10,2023-04-04 07:39:37,2023-04-08 02:49:44
24,7,84,5,315.66,464.56,1113.74,2025-07-13 10:47:01,2025-07-19 15:00:43
25,8,115,4,470.49,175.37,1706.59,2024-01-24 00:12:18,2024-01-26 07:41:04
26,8,112,1,303.25,48.88,254.37,2025-05-22 04:55:26,2025-05-27 15:44:12
27,8,51,4,195.33,130.16,651.16,2024-01-26 08:41:04,2024-01-29 08:14:02
28,8,73,3,332.32,164.01,832.95,2023-07-06 13:01:59,2023-07-09 22:10:00
29,9,48,4,311.00,55.41,1188.59,2025-07-07 19:39:32,2025-07-14 12:31:13
30,9,78,2,394.61,80.47,708.75,2024-01-05 05:22:39,2024-01-07 20:01:24
31,10,11,3,343.31,195.88,834.05,2023-10-28 23:33:44,2023-10-31 09:17:11
32,10,120,3,102.16,84.43,222.05,2024-11-19 01:20:31,2024-11-19 07:19:15
33,11,89,3,407.06,105.83,1115.35,2023-11-10 14:29:00,2023-11-12 07:07:15
34,12,94,4,12.10,0.56,47.84,2024-09-21 16:23:29,2024-09-25 13:34:03
35,12,109,2,294.21,68.22,520.20,2025-10-20 11:56:37,2025-10-27 10:30:35
36,13,47,3,135.79,52.12,355.25,2023-09-26 16:25:53,2023-09-28 23:10:41
37,13,87,3,402.00,242.74,963.26,2023-11-28 09:16:25,2023-12-03 09:25:33
38,13,115,3,228.53,129.66,555.93,2024-01-04 14:13:40,2024-01-08 01:25:04
39,13,17,2,425.93,160.37,691.49,2024-12-01 17:46:48,2024-12-04 08:36:40
40,14,70,3,171.68,33.30,481.74,2023-04-10 13:23:40,2023-04-16 22:18:29
41,14,3,5,121.59,56.51,551.44,2024-07-21 11:19:14,2024-07-24 23:27:05
42,15,102,5,388.74,222.13,1721.57,2024-11-03 12:37:25,2024-11-08 03:57:13
43,15,58,5,139.76,112.02,586.78,2023-05-02 07:32:26,2023-05-03 09:06:45
44,16,29,2,484.31,245.55,723.07,2023-09-30 06:27:02,2023-09-30 19:08:59
45,16,92,2,212.82,33.06,392.58,2024-01-11 17:47:02,2024-01-11 19:05:28
46,16,103,1,489.22,13.46,475.76,2023-04-27 22:17:42,2023-04-28 13:23:49
47,17,49,3,105.90,25.04,292.66,2023-02-04 18:57:40,2023-02-09 05:17:55
48,17,44,2,35.85,7.37,64.33,2024-11-09 07:08:25,2024-11-15 15:24:31
49,17,67,2,257.53,129.41,385.65,2023-11-01 16:17:31,2023-11-06 01:38:42
50,18,3,1,75.54,22.59,52.95,2024-01-01 15:39:23,2024-01-06 22:11:55
51,18,65,4,276.33,205.35,899.97,2025-10-27 12:01:27,2025-10-31 22:27:40
52,18,20,3,338.93,81.16,935.63,2023-02-17 08:26:53,2023-02-21 09:05:01
53,18,2,3,446.92,232.06,1108.70,2024-07-04 04:44:11,2024-07-10 03:01:23
54,19,57,1,479.64,142.82,336.82,2025-03-25 10:52:00,2025-03-30 15:52:37
55,20,61,2,197.13,32.48,361.78,2025-03-28 05:59:01,2025-04-01 12:06:26
56,20,20,1,302.61,25.20,277.41,2025-10-30 10:43:54,2025-10-31 05:46:07
57,20,81,3,92.39,19.31,257.86,2023-06-18 05:21:40,2023-06-18 23:40:43
58,20,31,3,431.74,9.80,1285.42,2023-05-02 04:38:06,2023-05-03 01:49:21
59,21,33,4,259.93,310.68,729.04,2023-04-13 17:17:04,2023-04-18 19:16:01
60,21,83,3,7.99,4.01,19.96,2024-10-01 20:21:12,2024-10-04 18:13:42
61,21,49,4,122.17,113.22,375.46,2023-08-16 21:54:20,2023-08-16 23:32:52
62,21,91,5,169.64,200.01,648.19,2023-03-22 12:48:44,2023-03-26 12:55:34
63,21,38,4,400.19,303.62,1297.14,2024-01-23 09:57:20,2024-01-27 16:23:57
64,22,21,1,71.40,5.55,65.85,2023-07-08 13:30:11,2023-07-11 01:15:56
65,22,48,5,182.06,267.10,643.20,2025-07-09 00:52:17,2025-07-13 21:31:10
66,22,94,2,55.20,22.58,87.82,2023-05-24 21:40:52,2023-05-30 07:19:43
67,23,50,3,370.41,258.20,853.03,2023-03-18 05:45:06,2023-03-22 13:52:54
68,23,57,1,19.48,3.56,15.92,2024-08-28 01:56:40,2024-08-29 20:38:56
69,23,110,3,239.55,66.83,651.82,2025-01-03 18:15:43,2025-01-08 23:51:27
70,23,5,5,275.63,212.43,1165.72,2023-03-22 10:38:37,2023-03-27 13:34:11
71,23,71,1,456.05,128.34,327.71,2024-02-26 16:27:07,2024-02-28 18:30:15
72,24,50,5,473.27,611.39,1754.96,2023-10-04 05:50:09,2023-10-09 07:10:39
73,24,59,1,175.04,33.21,141.83,2024-11-04 01:09:52,2024-11-05 10:36:59
74,24,41,5,394.22,172.65,1798.45,2025-01-22 23:04:26,2025-01-25 19:12:25
75,25,8,2,177.37,42.84,311.90,2025-05-30 15:19:53,2025-06-02 08:44:03
76,26,14,3,118.69,98.40,257.67,2023-09-20 00:50:34,2023-09-27 00:08:49
77,26,22,4,217.63,226.89,643.63,2025-03-31 18:38:10,2025-04-05 22:02:45
78,26,21,4,199.06,189.38,606.86,2023-03-20 11:44:35,2023-03-23 14:50:31
79,26,73,4,334.70,400.82,937.98,2023-02-03 20:04:00,2023-02-10 01:26:57
80,27,89,1,465.04,55.53,409.51,2023-01-13 08:54:19,2023-01-14 12:28:49
81,27,51,5,421.07,404.26,1701.09,2024-11-07 19:14:47,2024-11-14 15:45:01
82,27,50,2,16.44,7.37,25.51,2025-06-05 18:37:00,2025-06-11 04:52:56
83,27,114,2,226.14,95.17,357.11,2025-10-15 22:27:43,2025-10-21 19:55:14
84,27,39,1,459.51,113.79,345.72,2023-03-08 01:46:12,2023-03-11 01:06:14
85,28,39,3,356.90,86.00,984.70,2023-10-23 15:14:02,2023-10-26 19:39:23
86,28,72,2,107.02,10.79,203.25,2024-11-03 09:35:01,2024-11-08 12:03:33
87,28,77,2,328.07,195.68,460.46,2023-09-04 20:49:05,2023-09-09 15:40:33
88,28,42,1,473.74,51.68,422.06,2023-12-24 23:24:14,2023-12-29 14:32:28
89,29,15,3,496.58,329.36,1160.38,2024-04-24 19:00:24,2024-04-27 01:29:07
90,30,100,3,306.16,61.99,856.49,2024-02-29 23:34:11,2024-03-01 10:00:50
91,30,27,3,259.35,164.37,613.68,2023-10-30 03:47:51,2023-11-05 21:27:13
92,30,21,4,13.10,6.43,45.97,2024-10-18 23:00:17,2024-10-25 13:53:19
93,30,86,4,400.75,432.48,1170.52,2023-03-17 11:45:49,2023-03-22 01:29:48
94,30,104,5,142.77,125.77,588.08,2025-07-13 03:41:41,2025-07-18 16:23:09
95,31,44,5,365.51,421.39,1406.16,2025-05-15 02:33:38,2025-05-18 18:16:51
96,31,109,2,237.60,108.72,366.48,2025-03-09 18:23:22,2025-03-16 12:29:44
97,31,8,1,20.55,0.48,20.07,2025-11-08 03:36:59,2025-11-09 09:41:20
98,32,2,2,361.20,60.26,662.14,2024-11-05 05:25:05,2024-11-06 03:16:26
99,32,76,1,117.02,25.45,91.57,2025-09-16 17:16:46,2025-09-19 09:41:54
100,32,61,4,367.37,405.37,1064.11,2025-01-09 18:31:33,2025-01-12 00:14:25
101,32,35,1,407.75,13.81,393.94,2023-10-26 10:09:49,2023-10-31 00:55:56
102,32,102,5,389.49,134.87,1812.58,2023-07-03 10:31:52,2023-07-04 00:14:55
103,33,114,3,433.00,372.82,926.18,2025-02-23 01:44:25,2025-02-27 21:58:25
104,34,49,4,279.30,174.54,942.66,2023-04-04 17:08:05,2023-04-10 18:19:32
105,34,19,3,184.11,3.76,548.57,2023-03-23 02:30:06,2023-03-29 04:23:01
106,34,68,3,440.53,168.39,1153.20,2023-06-17 01:49:41,2023-06-20 19:37:33
107,34,32,5,27.59,33.43,104.52,2024-08-30 22:52:09,2024-08-31 14:54:31
108,35,105,1,482.65,111.95,370.70,2024-01-14 09:58:52,2024-01-14 18:50:08
109,35,98,2,54.95,8.52,101.38,2025-01-04 23:24:20,2025-01-10 22:04:45
110,35,88,3,458.23,307.70,1066.99,2024-10-15 00:23:10,2024-10-20 16:46:23
111,35,118,5,53.73,47.71,220.94,2024-06-21 14:54:48,2024-06-26 16:00:33
112,36,58,2,173.32,56.14,290.50,2024-05-21 14:45:18,2024-05-23 18:52:16
113,36,115,5,365.94,177.35,1652.35,2023-07-03 11:14:43,2023-07-07 15:21:55
114,36,114,3,325.49,149.61,826.86,2025-05-27 18:44:13,2025-06-03 16:38:35
115,36,79,5,141.26,95.01,611.29,2023-02-27 16:07:10,2023-03-03 09:10:58
116,37,77,5,158.62,143.18,649.92,2023-01-03 04:57:59,2023-01-04 13:14:21
117,37,111,5,103.18,97.19,418.71,2025-05-15 18:37:16,2025-05-17 10:28:24
118,38,37,5,462.81,678.03,1636.02,2024-11-17 00:01:21,2024-11-23 12:23:09
119,38,11,1,280.41,64.58,215.83,2024-03-07 19:51:44,2024-03-11 12:13:44
120,39,46,3,455.69,380.60,986.47,2023-03-08 01:22:27,2023-03-11 23:05:42
121,40,57,4,171.19,160.54,524.22,2024-06-04 12:05:15,2024-06-05 20:58:18
122,40,19,2,473.81,6.08,941.54,2024-03-09 14:08:10,2024-03-16 10:10:10
123,41,56,3,146.71,75.06,365.07,2024-07-13 03:58:07,2024-07-14 18:00:30
124,41,81,3,363.75,207.65,883.60,2024-04-17 04:10:16,2024-04-19 16:06:16
125,41,30,2,275.14,125.69,424.59,2024-11-28 19:10:25,2024-12-05 15:31:20
126,41,52,1,123.15,24.90,98.25,2025-06-13 19:08:03,2025-06-18 10:27:27
127,42,53,2,197.55,18.45,376.65,2025-05-01 07:04:16,2025-05-04 15:32:39
128,42,31,5,205.73,152.69,875.96,2023-07-28 08:24:24,2023-07-29 12:11:37
129,42,99,1,306.70,79.96,226.74,2024-07-10 07:23:59,2024-07-15 05:34:14
130,42,72,1,287.36,50.56,236.80,2025-01-30 06:12:27,2025-01-31 07:53:12
131,43,106,4,72.20,24.27,264.53,2024-10-07 19:50:40,2024-10-13 10:24:08
132,43,80,2,115.45,24.55,206.35,2023-03-31 08:23:36,2023-04-04 15:35:25
133,43,36,1,71.06,6.75,64.31,2025-10-18 15:47:45,2025-10-23 09:29:59
134,43,35,5,380.17,475.87,1424.98,2025-05-05 22:08:33,2025-05-12 08:05:46
135,43,4,2,445.18,226.67,663.69,2025-07-20 12:38:03,2025-07-24 02:12:52
136,44,20,4,36.17,42.64,102.04,2025-11-24 06:30:08,2025-11-24 13:12:41
137,44,34,3,341.77,134.35,890.96,2023-05-11 06:54:49,2023-05-17 17:50:34
138,45,105,1,496.10,143.66,352.44,2024-07-14 06:23:00,2024-07-18 16:13:17
139,45,51,1,441.72,125.09,316.63,2024-05-11 12:30:50,2024-05-14 00:08:55
140,46,72,5,416.43,475.97,1606.18,2024-02-29 02:54:45,2024-03-06 20:45:04
141,46,92,5,142.49,37.95,674.50,2024-07-21 01:04:06,2024-07-24 04:52:21
142,46,10,2,198.05,23.99,372.11,2025-10-25 18:18:29,2025-10-31 07:09:33
143,47,36,1,499.38,27.92,471.46,2025-02-01 13:51:39,2025-02-02 17:44:41
144,47,63,4,175.83,110.83,592.49,2024-03-14 23:35:04,2024-03-20 06:09:14
145,47,20,2,435.53,96.30,774.76,2023-06-11 11:58:07,2023-06-12 15:14:25
146,47,4,5,54.23,0.31,270.84,2024-10-26 15:00:31,2024-10-27 18:24:35
147,47,91,3,481.89,201.74,1243.93,2024-01-12 06:01:46,2024-01-15 07:38:57
148,48,117,2,217.64,24.54,410.74,2024-12-31 18:54:01,2025-01-04 03:37:15
149,48,102,3,483.01,286.82,1162.21,2025-02-11 11:28:04,2025-02-15 03:33:03
150,49,34,2,92.34,22.26,162.42,2023-04-18 04:45:59,2023-04-23 14:56:31
151,50,117,2,395.85,28.13,763.57,2023-03-21 23:27:10,2023-03-22 09:41:24
152,50,50,5,206.24,120.58,910.62,2024-04-10 08:42:09,2024-04-17 01:31:10
153,50,2,5,154.54,149.78,622.92,2025-08-12 16:14:55,2025-08-16 06:34:43
154,51,112,2,136.55,18.09,255.01,2025-03-26 10:45:48,2025-03-29 16:38:08
155,51,109,4,152.74,34.10,576.86,2024-06-09 05:16:34,2024-06-11 07:49:20
156,51,21,1,321.97,3.42,318.55,2024-03-08 20:38:53,2024-03-12 12:39:17
157,51,116,3,184.68,83.66,470.38,2025-02-25 20:51:27,2025-03-04 18:55:04
158,51,75,4,280.55,212.99,909.21,2023-01-28 23:15:48,2023-02-01 12:21:56
159,52,79,4,187.99,200.31,551.65,2025-10-18 06:45:25,2025-10-23 06:19:27
160,52,5,4,63.99,1.14,254.82,2024-09-03 06:39:52,2024-09-09 09:41:56
161,52,59,4,94.39,79.05,298.51,2023-01-19 13:28:12,2023-01-24 07:43:16
162,53,75,2,228.38,74.71,382.05,2024-09-15 19:13:01,2024-09-17 03:58:13
163,53,4,4,131.56,95.57,430.67,2023-04-29 21:05:47,2023-05-02 00:51:02
164,53,97,5,181.61,136.80,771.25,2025-09-04 15:08:26,2025-09-08 09:53:01
165,53,103,5,87.35,93.96,342.79,2024-09-09 05:32:15,2024-09-14 05:18:35
166,53,24,4,94.27,39.88,337.20,2025-02-09 18:20:13,2025-02-09 22:25:15
167,54,14,4,90.62,70.21,292.27,2024-03-25 16:06:41,2024-03-29 14:32:56
168,54,34,4,462.51,171.55,1678.49,2025-09-22 01:50:06,2025-09-26 04:51:37
169,54,48,2,497.52,38.60,956.44,2023-01-12 17:07:21,2023-01-19 01:24:33
170,54,56,2,32.49,15.29,49.69,2025-09-25 19:28:14,2025-09-30 20:17:56
171,54,68,1,456.58,21.75,434.83,2023-01-10 00:06:07,2023-01-16 10:29:38
172,55,56,1,41.90,11.57,30.33,2024-11-01 15:28:46,2024-11-04 11:31:32
173,55,34,3,423.34,11.50,1258.52,2023-06-16 04:44:41,2023-06-22 18:12:01
174,55,5,1,223.62,34.44,189.18,2025-04-07 21:51:58,2025-04-10 13:22:02
175,55,19,5,162.23,184.62,626.53,2025-06-28 12:49:59,2025-07-04 05:09:40
176,56,34,5,382.82,541.95,1372.15,2024-12-14 06:25:05,2024-12-19 00:20:09
177,57,102,1,458.65,112.51,346.14,2024-02-14 19:51:18,2024-02-16 05:33:48
178,57,101,5,394.61,110.37,1862.68,2023-07-14 21:52:28,2023-07-21 18:08:44
179,57,86,1,225.54,9.45,216.09,2025-03-31 15:04:50,2025-04-01 14:49:29
180,58,115,1,120.08,7.31,112.77,2024-08-31 11:44:05,2024-09-01 10:47:42
181,59,116,1,399.83,111.51,288.32,2023-10-13 19:29:51,2023-10-17 09:29:34
182,59,96,4,40.50,37.10,124.90,2023-04-19 00:49:08,2023-04-23 15:20:23
183,59,69,2,244.55,76.27,412.83,2025-08-02 07:27:03,2025-08-07 07:09:21
184,59,91,5,291.47,342.95,1114.40,2023-02-20 23:37:08,2023-02-26 05:58:35
185,60,12,2,408.96,234.53,583.39,2024-06-27 23:33:15,2024-06-28 07:24:46
186,61,92,5,395.81,194.59,1784.46,2024-08-04 23:34:14,2024-08-08 23:44:53
187,61,31,3,356.36,190.31,878.77,2023-04-18 00:48:19,2023-04-19 14:07:48
188,61,62,3,137.46,53.96,358.42,2025-06-05 01:34:01,2025-06-10 10:55:54
189,61,54,5,348.93,275.26,1469.39,2025-10-29 13:29:48,2025-11-03 17:27:52
190,61,113,5,15.33,13.60,63.05,2023-12-13 09:59:38,2023-12-19 14:03:19
191,62,69,2,71.12,11.02,131.22,2023-03-12 06:57:38,2023-03-13 13:39:08
192,62,102,4,182.17,41.53,687.15,2024-12-11 01:53:24,2024-12-15 03:25:39
193,62,93,5,43.23,0.01,216.14,2025-01-27 09:59:42,2025-02-02 03:01:32
194,63,92,5,25.97,34.32,95.53,2023-05-18 17:34:48,2023-05-22 14:09:55
195,64,45,2,113.25,0.20,226.30,2024-08-10 07:42:09,2024-08-15 12:42:49
196,64,17,3,232.09,25.72,670.55,2025-09-13 16:09:20,2025-09-16 03:35:47
197,65,89,4,97.91,57.47,334.17,2024-07-06 16:48:06,2024-07-08 02:49:38
198,65,21,5,448.41,79.46,2162.59,2023-12-17 11:47:37,2023-12-22 02:26:10
199,65,65,4,261.89,65.93,981.63,2024-01-29 03:26:22,2024-02-04 02:01:02
200,65,62,1,351.36,16.49,334.87,2024-06-16 14:05:54,2024-06-21 20:10:01
201,66,29,3,374.19,51.94,1070.63,2023-01-20 19:36:25,2023-01-23 01:22:25
202,66,27,1,134.88,39.36,95.52,2024-09-20 15:49:10,2024-09-25 05:00:02
203,66,30,2,105.18,16.01,194.35,2024-02-01 10:21:29,2024-02-07 21:35:17
204,67,36,3,83.82,6.45,245.01,2025-11-03 00:24:14,2025-11-06 02:21:51
205,67,56,1,225.81,54.89,170.92,2023-01-09 09:52:38,2023-01-13 03:51:53
206,67,108,5,341.64,412.78,1295.42,2025-02-01 12:29:05,2025-02-05 00:34:20
207,68,82,5,449.15,649.24,1596.51,2025-08-04 01:35:37,2025-08-10 17:42:42
208,68,25,2,39.75,19.85,59.65,2024-02-13 09:01:25,2024-02-20 05:19:39
209,68,23,4,191.74,223.44,543.52,2025-09-02 11:45:02,2025-09-09 05:15:09
210,68,3,4,395.77,406.15,1176.93,2023-06-15 20:16:12,2023-06-17 04:55:33
211,68,43,3,485.89,268.24,1189.43,2023-09-08 01:55:20,2023-09-08 11:24:48
212,69,117,4,157.65,56.70,573.90,2023-10-19 02:45:20,2023-10-24 11:53:58
213,70,37,5,109.67,31.43,516.92,2024-05-25 20:23:26,2024-05-29 02:49:08
214,70,41,2,121.53,20.12,222.94,2024-02-19 20:27:14,2024-02-24 00:17:48
215,70,48,2,478.89,164.46,793.32,2024-01-15 22:25:05,2024-01-18 00:29:48
216,71,113,3,479.19,381.87,1055.70,2023-04-04 10:13:28,2023-04-07 15:35:00
217,72,113,2,82.51,14.63,150.39,2025-02-25 06:38:12,2025-02-26 20:56:20
218,72,3,1,330.96,14.48,316.48,2024-01-24 10:38:12,2024-01-24 12:43:41
219,73,55,5,377.02,424.06,1461.04,2025-01-06 18:19:16,2025-01-13 05:40:15
220,73,108,5,10.24,7.92,43.28,2023-07-12 19:45:59,2023-07-18 06:57:18
221,74,42,3,179.53,44.05,494.54,2024-07-12 15:33:04,2024-07-19 13:05:59
222,74,30,4,163.64,168.93,485.63,2024-09-21 23:11:02,2024-09-26 01:08:25
223,75,62,4,204.11,89.89,726.55,2023-12-12 07:18:59,2023-12-15 11:02:47
224,75,40,2,266.94,158.18,375.70,2025-10-19 23:33:35,2025-10-21 13:34:56
225,75,56,1,19.31,0.94,18.37,2024-09-29 06:27:09,2024-09-29 09:24:10
226,75,118,3,281.95,184.17,661.68,2025-04-02 04:51:21,2025-04-02 09:22:32
227,75,99,4,55.24,58.83,162.13,2025-04-22 07:35:28,2025-04-28 01:13:58
228,76,79,1,118.25,29.86,88.39,2025-05-02 14:00:16,2025-05-06 10:04:29
229,76,33,4,84.30,44.76,292.44,2024-05-15 22:54:34,2024-05-18 18:01:28
230,76,69,3,70.51,15.53,196.00,2024-10-14 23:17:41,2024-10-21 22:27:25
231,76,84,3,150.54,107.51,344.11,2025-01-05 05:16:53,2025-01-11 00:29:00
232,76,102,2,49.89,21.92,77.86,2023-10-01 02:52:43,2023-10-03 21:53:17
233,77,119,2,198.51,53.23,343.79,2024-06-28 09:44:45,2024-06-28 11:24:23
234,77,22,4,447.91,340.97,1450.67,2023-11-30 19:46:44,2023-12-07 10:13:01
235,77,39,1,419.92,105.55,314.37,2024-09-23 15:20:34,2024-09-23 23:46:52
236,77,99,3,318.99,259.00,697.97,2024-11-15 07:11:52,2024-11-18 16:21:36
237,78,52,3,288.10,90.20,774.10,2025-10-28 04:46:45,2025-10-30 03:29:07
238,79,13,3,431.52,279.51,1015.05,2023-05-17 22:27:36,2023-05-20 00:16:37
239,80,56,5,92.98,118.54,346.36,2023-01-01 11:04:08,2023-01-08 01:13:07
240,80,106,1,238.00,48.25,189.75,2023-06-03 19:45:40,2023-06-10 08:21:46
241,80,59,5,439.49,590.44,1607.01,2024-08-03 22:50:08,2024-08-09 01:19:48
242,81,97,3,115.05,23.30,321.85,2023-02-16 05:58:54,2023-02-22 18:18:40
243,82,78,4,133.81,118.43,416.81,2024-12-26 19:50:28,2024-12-27 23:01:47
244,82,9,1,404.38,3.16,401.22,2023-04-07 04:32:30,2023-04-08 14:26:30
245,83,108,3,9.62,7.27,21.59,2023-05-31 21:38:01,2023-06-01 05:10:54
246,83,57,3,181.45,152.99,391.36,2023-07-24 21:04:43,2023-07-29 09:52:16
247,83,89,2,451.97,99.00,804.94,2023-08-13 04:57:20,2023-08-15 09:22:47
248,83,56,2,410.23,40.80,779.66,2024-05-10 09:01:00,2024-05-12 17:16:42
249,84,35,1,463.44,124.63,338.81,2024-05-13 12:57:05,2024-05-14 04:50:48
250,84,49,1,322.63,22.81,299.82,2024-04-20 14:26:16,2024-04-24 18:24:54
251,84,25,4,341.91,65.97,1301.67,2024-08-16 16:55:49,2024-08-21 11:56:59
252,85,78,3,233.80,131.30,570.10,2024-08-22 09:44:47,2024-08-29 06:00:47
253,85,60,4,66.14,50.25,214.31,2024-08-06 08:57:09,2024-08-09 20:04:52
254,86,105,1,339.18,10.87,328.31,2024-05-07 16:15:30,2024-05-12 20:34:46
255,86,90,5,201.78,294.45,714.45,2024-05-10 22:34:55,2024-05-15 09:45:55
256,86,80,4,138.97,137.02,418.86,2024-04-14 18:45:59,2024-04-17 00:38:57
257,87,34,3,129.46,32.84,355.54,2024-06-15 02:15:16,2024-06-20 07:38:37
258,88,22,5,163.83,31.08,788.07,2023-07-29 13:10:31,2023-08-04 05:26:03
259,88,57,1,369.63,62.79,306.84,2024-05-22 14:55:51,2024-05-26 05:33:13
260,88,62,2,292.61,48.61,536.61,2024-03-13 03:59:16,2024-03-14 00:30:09
261,88,54,1,244.34,29.76,214.58,2023-03-24 03:28:20,2023-03-26 00:06:16
262,88,42,2,116.58,34.90,198.26,2023-11-21 20:32:04,2023-11-27 19:08:05
263,89,113,3,361.13,266.79,816.60,2025-04-17 15:28:05,2025-04-18 22:28:58
264,89,12,5,463.69,213.58,2104.87,2025-02-06 16:38:56,2025-02-12 12:43:38
265,89,93,2,176.60,45.30,307.90,2023-10-24 03:57:34,2023-10-30 21:00:02
266,89,89,2,419.82,171.09,668.55,2025-01-24 12:24:37,2025-01-29 04:25:25
267,90,83,1,499.07,98.67,400.40,2023-08-28 22:55:13,2023-08-30 15:01:46
268,90,38,5,235.40,102.24,1074.76,2023-04-15 21:01:09,2023-04-16 16:05:39
269,91,103,2,304.25,76.47,532.03,2023-11-30 21:51:12,2023-12-03 08:21:45
270,91,88,5,385.76,270.30,1658.50,2024-10-20 17:59:29,2024-10-23 07:02:47
271,91,45,2,355.43,31.74,679.12,2024-08-13 16:44:27,2024-08-16 00:05:27
272,91,16,3,371.85,206.44,909.11,2024-05-21 00:35:01,2024-05-21 19:20:58
273,91,108,3,224.86,47.93,626.65,2023-09-17 23:28:48,2023-09-23 04:27:59
274,92,61,2,42.91,22.68,63.14,2023-02-05 14:24:06,2023-02-09 15:37:34
275,92,106,2,184.38,5.35,363.41,2024-11-01 04:37:47,2024-11-05 07:52:34
276,92,102,4,174.17,30.72,665.96,2023-10-12 00:22:29,2023-10-15 13:00:20
277,92,78,2,64.55,8.60,120.50,2023-04-02 07:10:53,2023-04-03 08:52:00
278,92,119,5,317.77,458.19,1130.66,2025-11-06 04:48:22,2025-11-09 10:39:14
279,93,15,3,385.85,303.47,854.08,2025-01-03 03:52:25,2025-01-05 18:40:43
280,93,34,5,248.33,361.28,880.37,2023-11-05 10:18:45,2023-11-12 10:18:32
281,94,115,3,302.21,205.64,700.99,2023-01-04 08:05:23,2023-01-11 07:38:17
282,94,27,4,198.18,164.52,628.20,2023-02-24 12:23:40,2023-03-01 08:49:16
283,94,103,3,216.68,49.11,600.93,2024-02-11 22:58:30,2024-02-18 13:44:09
284,94,99,4,386.63,114.53,1431.99,2023-06-14 10:18:49,2023-06-19 11:28:09
285,95,105,1,431.61,60.37,371.24,2024-09-19 16:30:59,2024-09-25 09:11:13
286,95,102,4,97.82,20.86,370.42,2025-10-27 06:37:28,2025-11-02 20:45:30
287,95,63,1,241.68,64.78,176.90,2025-10-23 23:51:35,2025-10-28 02:42:19
288,95,45,5,379.54,171.47,1726.23,2023-12-24 08:15:29,2023-12-30 20:20:02
289,96,47,3,17.28,11.79,40.05,2024-08-01 12:23:35,2024-08-02 05:44:33
290,96,73,3,52.40,2.22,154.98,2025-05-26 23:58:30,2025-05-29 04:15:53
291,97,21,5,193.63,25.69,942.46,2025-07-04 23:27:34,2025-07-11 23:25:42
292,97,14,1,356.59,57.38,299.21,2023-04-11 23:32:06,2023-04-12 23:34:15
293,97,4,1,315.05,5.20,309.85,2023-08-23 19:13:46,2023-08-29 09:18:25
294,97,69,2,226.38,38.74,414.02,2025-06-18 23:09:28,2025-06-21 07:12:54
295,98,12,4,162.10,56.72,591.68,2023-12-24 16:45:26,2023-12-28 03:17:26
296,98,26,2,262.98,10.62,515.34,2023-11-08 02:58:05,2023-11-11 03:09:15
297,98,93,2,375.93,121.43,630.43,2025-01-06 12:34:50,2025-01-08 21:58:40
298,98,64,2,358.10,190.06,526.14,2023-05-26 07:10:54,2023-05-28 02:16:33
299,99,119,4,26.86,17.96,89.48,2024-10-09 14:14:28,2024-10-10 07:55:37
300,99,18,5,474.04,308.30,2061.90,2023-02-12 22:22:03,2023-02-13 15:33:23
301,99,2,5,246.12,352.01,878.59,2025-10-04 13:34:24,2025-10-11 13:02:04
