order_id,promotion_id,applied_amount
10,12,46.79
425,7,15.05
43,5,4.77
43,10,36.50
598,16,61.56
638,2,29.33
700,10,66.46
700,19,56.63
393,15,12.83
168,20,9.98
168,10,24.78
652,3,17.72
398,8,39.81
110,16,8.56
710,3,20.08
463,7,70.81
295,11,72.17
80,14,59.25
80,15,12.85
413,7,5.19
145,20,10.43
145,14,10.78
323,8,36.18
250,2,64.86
250,13,76.55
167,9,59.82
213,11,17.44
213,7,37.24
419,15,5.38
238,6,79.84
352,7,63.44
107,19,71.85
107,5,27.45
555,1,50.73
555,7,50.76
192,16,58.41
192,9,8.33
58,9,21.12
58,1,13.88
682,2,11.52
6,13,67.72
785,13,19.88
785,2,20.61
135,6,8.66
138,12,4.56
281,3,61.89
537,7,3.40
330,9,20.41
388,20,53.68
314,16,29.24
314,10,24.92
610,14,68.15
194,3,6.73
468,20,23.59
311,8,61.12
311,11,4.84
542,18,53.65
542,15,63.06
50,11,28.62
596,12,13.44
444,11,38.31
444,17,28.11
347,18,65.35
635,14,6.54
635,5,9.23
124,14,51.51
532,7,66.88
74,8,4.39
74,17,50.22
767,14,18.10
436,18,66.85
421,19,18.32
783,4,46.73
783,12,58.40
446,8,78.25
193,7,65.24
193,15,6.93
740,5,10.49
740,12,43.85
455,17,19.50
639,12,50.74
639,7,22.67
177,15,5.42
582,17,8.57
582,1,69.91
678,20,17.48
283,9,27.82
157,18,39.80
157,10,66.30
556,5,50.59
131,5,67.73
44,2,60.03
799,12,49.10
67,20,65.15
406,4,78.77
29,10,22.19
29,16,21.13
364,5,24.23
367,17,71.24
367,5,57.73
121,5,67.97
36,10,20.49
550,11,39.43
88,12,44.33
88,1,61.64
196,19,22.14
196,2,19.70
55,16,54.76
479,10,13.92
130,8,7.53
659,13,37.64
219,9,60.91
14,14,23.16
476,20,79.21
539,18,7.49
443,3,58.34
672,5,37.00
313,5,34.67
